iter	Passed	Remaining
158	2164	3280
159	2177	3266
160	2191	3253
161	2205	3240
162	2219	3226
163	2232	3212
164	2245	3197
165	2259	3184
166	2272	3170
167	2285	3155
168	2298	3142
169	2312	3129
170	2326	3115
171	2339	3100
172	2352	3086
173	2365	3072
174	2378	3058
175	2391	3043
176	2405	3030
177	2418	3016
178	2431	3002
179	2444	2988
180	2457	2973
181	2470	2959
182	2483	2944
183	2495	2929
184	2508	2915
185	2521	2901
186	2536	2889
187	2549	2874
188	2561	2859
189	2574	2845
190	2587	2831
191	2600	2817
192	2613	2802
193	2626	2789
194	2640	2775
195	2654	2762
196	2668	2749
197	2682	2736
198	2694	2722
199	2708	2708
200	2720	2693
201	2733	2679
202	2746	2665
203	2759	2651
204	2772	2637
205	2785	2623
206	2798	2609
207	2811	2595
208	2824	2581
209	2837	2567
210	2850	2553
211	2863	2539
212	2876	2525
213	2889	2511
214	2903	2498
215	2917	2485
216	2930	2471
217	2943	2457
218	2956	2443
219	2969	2429
220	2982	2416
221	2995	2401
222	3008	2388
223	3021	2374
224	3034	2360
225	3047	2346
226	3062	2334
227	3076	2320
228	3091	2308
229	3105	2295
230	3119	2282
231	3134	2269
232	3149	2257
233	3164	2245
234	3179	2232
235	3195	2220
236	3209	2207
237	3223	2194
238	3238	2181
239	3252	2168
240	3266	2154
241	3281	2142
242	3295	2129
243	3310	2116
244	3325	2103
245	3339	2090
246	3352	2076
247	3365	2062
248	3377	2048
249	3391	2034
250	3404	2021
251	3417	2007
252	3431	1993
253	3444	1979
254	3457	1965
255	3470	1951
256	3482	1937
257	3496	1924
258	3508	1910
259	3521	1896
260	3534	1882
261	3547	1868
262	3561	1855
263	3575	1841
264	3588	1828
265	3601	1814
266	3615	1800
267	3629	1787
268	3644	1774
269	3659	1761
270	3672	1747
271	3684	1734
272	3697	1720
273	3711	1706
274	3724	1693
275	3738	1679
276	3751	1665
277	3764	1652
278	3778	1638
279	3792	1625
280	3804	1611
281	3818	1597
282	3831	1584
283	3844	1570
284	3858	1556
285	3871	1543
286	3883	1529
287	3897	1515
288	3910	1501
289	3923	1488
290	3936	1474
291	3949	1460
292	3962	1447
293	3975	1433
294	3988	1419
295	4001	1406
296	4017	1393
297	4030	1379
298	4043	1365
299	4056	1352
300	4069	1338
301	4082	1324
302	4096	1311
303	4110	1297
304	4124	1284
305	4137	1271
306	4152	1257
307	4166	1244
308	4181	1231
309	4194	1217
310	4206	1203
311	4219	1190
312	4233	1176
313	4246	1162
314	4259	1149
315	4272	1135
316	4285	1122
317	4298	1108
318	4312	1095
319	4325	1081
320	4339	1067
321	4352	1054
322	4367	1041
323	4380	1027
324	4393	1013
325	4406	1000
326	4421	986
327	4437	974
328	4455	961
329	4472	948
330	4490	936
331	4507	923
332	4521	909
333	4534	895
334	4547	882
335	4560	868
336	4572	854
337	4585	841
338	4599	827
339	4613	814
340	4628	800
341	4643	787
342	4657	773
343	4670	760
344	4683	746
345	4696	732
346	4709	719
347	4721	705
348	4734	691
349	4747	678
350	4760	664
351	4773	650
352	4786	637
353	4800	623
354	4813	610
355	4826	596
356	4839	582
357	4852	569
358	4865	555
359	4879	542
360	4892	528
361	4906	515
362	4918	501
363	4931	487
364	4944	474
365	4958	460
366	4971	447
367	4984	433
368	4997	419
369	5011	406
370	5025	392
371	5040	379
372	5054	365
373	5068	352
374	5082	338
375	5096	325
376	5110	311
377	5126	298
378	5141	284
379	5159	271
380	5176	258
381	5190	244
382	5204	231
383	5218	217
384	5232	203
385	5247	190
386	5260	176
387	5273	163
388	5287	149
389	5300	135
390	5313	122
391	5327	108
392	5341	95
393	5353	81
394	5367	67
395	5380	54
396	5393	40
397	5406	27
398	5419	13
399	5431	0
